Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -53112.9859  -53114.5269       1.5410   331.2
0.0005      -53113.0096  -53114.5304       1.5208   326.8
0.0010      -53113.0189  -53114.4859       1.4670   315.3
0.0015      -53113.0487  -53114.4142       1.3655   293.4
0.0020      -53113.0409  -53114.3449       1.3040   280.2
0.0025      -53113.0351  -53114.3014       1.2663   272.1
0.0030      -53113.0413  -53114.2938       1.2525   269.2
0.0035      -53113.0554  -53114.3157       1.2603   270.8
0.0040      -53113.0512  -53114.3480       1.2968   278.7
0.0045      -53113.0589  -53114.3653       1.3064   280.7
0.0050      -53113.1040  -53114.3557       1.2516   269.0
0.0055      -53113.0735  -53114.3158       1.2423   267.0
0.0060      -53113.0980  -53114.2487       1.1506   247.3
0.0065      -53113.0925  -53114.1644       1.0719   230.4
0.0070      -53113.0819  -53114.0802       0.9983   214.5
0.0075      -53113.0755  -53114.0183       0.9428   202.6
0.0080      -53113.0514  -53114.0032       0.9518   204.5
0.0085      -53113.0531  -53114.0315       0.9784   210.3
0.0090      -53113.0775  -53114.0886       1.0112   217.3
0.0095      -53113.0511  -53114.1558       1.1047   237.4
0.0100      -53113.0470  -53114.2070       1.1600   249.3
0.0105      -53113.0310  -53114.2286       1.1976   257.4
0.0110      -53113.0558  -53114.2089       1.1531   247.8
0.0115      -53113.0484  -53114.1539       1.1055   237.6
0.0120      -53113.0391  -53114.0782       1.0390   223.3
0.0125      -53113.0657  -53114.0078       0.9421   202.5
0.0130      -53113.0546  -53113.9613       0.9067   194.9
0.0135      -53113.0753  -53113.9507       0.8754   188.1
0.0140      -53113.0881  -53113.9718       0.8837   189.9
0.0145      -53113.0845  -53114.0127       0.9282   199.5
0.0150      -53113.0421  -53114.0563       1.0142   217.9
0.0155      -53113.0358  -53114.0836       1.0478   225.2
0.0160      -53113.0327  -53114.0831       1.0504   225.7
0.0165      -53113.0207  -53114.0592       1.0385   223.2
0.0170      -53112.9986  -53114.0170       1.0185   218.9
0.0175      -53112.9701  -53113.9714       1.0012   215.2
0.0180      -53112.9748  -53113.9445       0.9697   208.4
0.0185      -53112.9938  -53113.9539       0.9602   206.3
0.0190      -53113.0029  -53114.0056       1.0027   215.5
0.0195      -53113.0031  -53114.0875       1.0844   233.0
0.0200      -53113.0033  -53114.1696       1.1662   250.6
0.0205      -53113.0154  -53114.2278       1.2124   260.5
0.0210      -53113.0003  -53114.2509       1.2507   268.8
0.0215      -53112.9957  -53114.2344       1.2388   266.2
0.0220      -53112.9894  -53114.1837       1.1943   256.7
0.0225      -53113.0173  -53114.1127       1.0954   235.4
0.0230      -53112.9836  -53114.0359       1.0523   226.1
0.0235      -53112.9964  -53113.9746       0.9782   210.2
0.0240      -53112.9923  -53113.9470       0.9547   205.2
0.0245      -53113.0080  -53113.9421       0.9341   200.7
0.0250      -53113.0368  -53113.9550       0.9183   197.3
0.0255      -53113.0423  -53113.9713       0.9289   199.6
0.0260      -53113.0637  -53113.9828       0.9191   197.5
0.0265      -53113.0898  -53113.9840       0.8942   192.2
0.0270      -53113.0869  -53113.9659       0.8790   188.9
0.0275      -53113.0697  -53113.9363       0.8666   186.2
0.0280      -53113.0539  -53113.9032       0.8494   182.5
0.0285      -53113.0598  -53113.8850       0.8252   177.3
0.0290      -53113.0537  -53113.8887       0.8350   179.4
0.0295      -53113.0932  -53113.9220       0.8288   178.1
0.0300      -53113.0498  -53113.9880       0.9383   201.6
0.0305      -53113.0575  -53114.0651       1.0076   216.5
0.0310      -53113.0556  -53114.1252       1.0697   229.9
0.0315      -53113.0386  -53114.1556       1.1171   240.1
0.0320      -53113.0125  -53114.1477       1.1352   244.0
0.0325      -53113.0502  -53114.1071       1.0569   227.1
0.0330      -53113.0608  -53114.0533       0.9925   213.3
0.0335      -53113.0935  -53114.0040       0.9105   195.7
0.0340      -53113.0797  -53113.9797       0.9000   193.4
0.0345      -53113.0933  -53113.9870       0.8937   192.1
0.0350      -53113.0872  -53114.0192       0.9320   200.3
0.0355      -53113.0647  -53114.0663       1.0016   215.2
0.0360      -53113.0633  -53114.1200       1.0567   227.1
0.0365      -53113.1003  -53114.1617       1.0615   228.1
0.0370      -53113.0192  -53114.1839       1.1647   250.3
0.0375      -53113.0304  -53114.1786       1.1482   246.8
0.0380      -53113.0296  -53114.1502       1.1206   240.8
0.0385      -53112.9783  -53114.1103       1.1320   243.3
0.0390      -53112.9538  -53114.0657       1.1118   238.9
0.0395      -53112.9325  -53114.0359       1.1033   237.1
0.0400      -53112.9560  -53114.0423       1.0863   233.5
0.0405      -53112.9402  -53114.0821       1.1419   245.4
0.0410      -53112.8946  -53114.1326       1.2380   266.0
0.0415      -53112.8739  -53114.1632       1.2893   277.1
0.0420      -53112.8621  -53114.1643       1.3023   279.9
0.0425      -53112.8907  -53114.1283       1.2377   266.0
0.0430      -53112.8783  -53114.0595       1.1812   253.8
0.0435      -53112.8323  -53113.9685       1.1362   244.2
0.0440      -53112.7714  -53113.8698       1.0984   236.0
0.0445      -53112.8070  -53113.7854       0.9784   210.3
0.0450      -53112.8159  -53113.7346       0.9187   197.4
0.0455      -53112.7888  -53113.7274       0.9386   201.7
0.0460      -53112.7696  -53113.7615       0.9919   213.2
0.0465      -53112.7758  -53113.8200       1.0442   224.4
0.0470      -53112.7768  -53113.8716       1.0948   235.3
0.0475      -53112.8046  -53113.8914       1.0868   233.6
0.0480      -53112.7668  -53113.8738       1.1070   237.9
0.0485      -53112.7732  -53113.8222       1.0490   225.4
0.0490      -53112.7542  -53113.7615       1.0073   216.5
0.0495      -53112.7248  -53113.7177       0.9930   213.4
0.0500      -53112.6359  -53113.7089       1.0730   230.6
0.0505      -53112.6351  -53113.7373       1.1021   236.8
0.0510      -53112.5994  -53113.7934       1.1940   256.6
0.0515      -53112.5850  -53113.8490       1.2641   271.6
0.0520      -53112.5471  -53113.8814       1.3343   286.7
0.0525      -53112.5327  -53113.8700       1.3373   287.4
0.0530      -53112.5199  -53113.8117       1.2918   277.6
