Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17773.9235  -17774.4624       0.5389   297.8
0.0005      -17773.9059  -17774.5204       0.6146   339.6
0.0010      -17773.9099  -17774.6580       0.7481   413.4
0.0015      -17773.8817  -17774.8700       0.9883   546.1
0.0020      -17773.8921  -17775.1489       1.2568   694.5
0.0025      -17773.8961  -17775.4841       1.5880   877.5
0.0030      -17773.8864  -17775.8673       1.9809  1094.6
0.0035      -17773.9563  -17776.2887       2.3324  1288.9
0.0040      -17773.9803  -17776.7276       2.7473  1518.2
0.0045      -17773.9785  -17777.1715       3.1930  1764.5
0.0050      -17773.9933  -17777.5898       3.5965  1987.4
0.0055      -17774.0483  -17777.9479       3.8996  2154.9
0.0060      -17774.1430  -17778.2186       4.0757  2252.2
0.0065      -17774.1812  -17778.3829       4.2018  2321.9
0.0070      -17774.2856  -17778.4409       4.1553  2296.2
0.0075      -17774.3634  -17778.4025       4.0391  2232.0
0.0080      -17774.3752  -17778.3027       3.9276  2170.4
0.0085      -17774.3715  -17778.1974       3.8259  2114.2
0.0090      -17774.4159  -17778.1249       3.7091  2049.6
0.0095      -17774.3854  -17778.1008       3.7154  2053.1
0.0100      -17774.4316  -17778.1383       3.7066  2048.3
0.0105      -17774.5364  -17778.2225       3.6861  2036.9
0.0110      -17774.6407  -17778.3312       3.6905  2039.4
0.0115      -17774.7238  -17778.4514       3.7277  2059.9
0.0120      -17774.7532  -17778.5675       3.8143  2107.7
0.0125      -17774.7860  -17778.6650       3.8790  2143.5
0.0130      -17774.8813  -17778.7307       3.8493  2127.1
0.0135      -17774.9649  -17778.7730       3.8081  2104.4
0.0140      -17774.9879  -17778.8041       3.8162  2108.8
0.0145      -17774.9971  -17778.8246       3.8275  2115.1
0.0150      -17774.9971  -17778.8422       3.8451  2124.8
0.0155      -17775.0430  -17778.8534       3.8104  2105.6
0.0160      -17775.1048  -17778.8682       3.7634  2079.6
0.0165      -17775.1077  -17778.8891       3.7814  2089.6
0.0170      -17775.0809  -17778.9285       3.8477  2126.2
0.0175      -17775.0811  -17778.9901       3.9090  2160.1
0.0180      -17775.1631  -17779.0604       3.8972  2153.6
0.0185      -17775.1412  -17779.1277       3.9864  2202.9
0.0190      -17775.2342  -17779.1865       3.9523  2184.0
